File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_28	2:54am	Returning	Erthlings	Indigo 	https://www.youtube.com/results?search_query=Erthlings%20Returning	https://play.spotify.com/search/results/artist:Erthlings%20track:Returning	https://www.triplejunearthed.com/node/7410446
requestival_28	2:57am	Under A Rock	Waxahatchee	Ivy Tripp 	https://www.youtube.com/results?search_query=Waxahatchee%20Under%20A%20Rock	https://play.spotify.com/search/results/artist:Waxahatchee%20track:Under%20A%20Rock	NA
requestival_28	3:04am	Dear Science	Seth Sentry	This Was Tomorrow 	https://www.youtube.com/results?search_query=Seth%20Sentry%20Dear%20Science	https://play.spotify.com/search/results/artist:Seth%20Sentry%20track:Dear%20Science	https://www.triplejunearthed.com/node/13541
requestival_28	3:18am	Bill Nye The Science Guy Theme Song	Bill Nye	Bill Nye The Science Guy Theme Song 	https://www.youtube.com/results?search_query=Bill%20Nye%20Bill%20Nye%20The%20Science%20Guy%20Theme%20Song	https://play.spotify.com/search/results/artist:Bill%20Nye%20track:Bill%20Nye%20The%20Science%20Guy%20Theme%20Song	NA
requestival_28	3:30am	Science Is Golden	The Grates	Gravity Won't Get You High 	https://www.youtube.com/results?search_query=The%20Grates%20Science%20Is%20Golden	https://play.spotify.com/search/results/artist:The%20Grates%20track:Science%20Is%20Golden	NA
requestival_28	3:32am	Around The World - Harder Better Faster Stronger (Live)	Daft Punk	Alive 2007 	https://www.youtube.com/results?search_query=Daft%20Punk%20Around%20The%20World%20-%20Harder%20Better%20Faster%20Stronger%20(Live)	https://play.spotify.com/search/results/artist:Daft%20Punk%20track:Around%20The%20World%20-%20Harder%20Better%20Faster%20Stronger%20(Live)	NA
requestival_28	3:45am	Being Followed	Rocket Science	Contact High 	https://www.youtube.com/results?search_query=Rocket%20Science%20Being%20Followed	https://play.spotify.com/search/results/artist:Rocket%20Science%20track:Being%20Followed	NA
requestival_28	3:55am	Science Of Fear	The Temper Trap	Conditions 	https://www.youtube.com/results?search_query=The%20Temper%20Trap%20Science%20Of%20Fear	https://play.spotify.com/search/results/artist:The%20Temper%20Trap%20track:Science%20Of%20Fear	NA
requestival_28	4:07am	Ocean Man	Ween	The Mollusk 	https://www.youtube.com/results?search_query=Ween%20Ocean%20Man	https://play.spotify.com/search/results/artist:Ween%20track:Ocean%20Man	NA
requestival_28	4:10am	Museum	CLEWS	Museum 	https://www.youtube.com/results?search_query=CLEWS%20Museum	https://play.spotify.com/search/results/artist:CLEWS%20track:Museum	https://www.triplejunearthed.com/node/4463156
requestival_28	4:13am	Jesus Is The One (I Got Depression)	Zack Fox x Kenny Beats	Jesus Is The One (I Got Depression) 	https://www.youtube.com/results?search_query=Zack%20Fox%20x%20Kenny%20Beats%20Jesus%20Is%20The%20One%20(I%20Got%20Depression)	https://play.spotify.com/search/results/artist:Zack%20Fox%20x%20Kenny%20Beats%20track:Jesus%20Is%20The%20One%20(I%20Got%20Depression)	NA
requestival_28	4:16am	Fools Gold	The Stone Roses	Fools Gold / What The World Is Waiting For 	https://www.youtube.com/results?search_query=The%20Stone%20Roses%20Fools%20Gold	https://play.spotify.com/search/results/artist:The%20Stone%20Roses%20track:Fools%20Gold	NA
requestival_28	4:26am	Kids	Rich Brian	The Sailor 	https://www.youtube.com/results?search_query=Rich%20Brian%20Kids	https://play.spotify.com/search/results/artist:Rich%20Brian%20track:Kids	NA
requestival_28	4:31am	Pursuit	Made In Paris	Pursuit [Single] 	https://www.youtube.com/results?search_query=Made%20In%20Paris%20Pursuit	https://play.spotify.com/search/results/artist:Made%20In%20Paris%20track:Pursuit	https://www.triplejunearthed.com/node/5285611
requestival_28	4:36am	Down With The Sickness	Disturbed	Queen Of The Damned 	https://www.youtube.com/results?search_query=Disturbed%20Down%20With%20The%20Sickness	https://play.spotify.com/search/results/artist:Disturbed%20track:Down%20With%20The%20Sickness	NA
requestival_28	4:41am	Lose Control	Meduza x Becky Hill x Goodboys	Lose Control (Original) 	https://www.youtube.com/results?search_query=Meduza%20x%20Becky%20Hill%20x%20Goodboys%20Lose%20Control	https://play.spotify.com/search/results/artist:Meduza%20x%20Becky%20Hill%20x%20Goodboys%20track:Lose%20Control	NA
requestival_28	4:44am	Multiply {Ft. Jack River}	Love Fame Tragedy	Multiply 	https://www.youtube.com/results?search_query=Love%20Fame%20Tragedy%20Multiply%20{Ft.%20Jack%20River}	https://play.spotify.com/search/results/artist:Love%20Fame%20Tragedy%20track:Multiply%20%7BFt.%20Jack%20River%7D	NA
requestival_28	4:48am	Multiply {Ft. Jack River}	Love Fame Tragedy	Multiply 	https://www.youtube.com/results?search_query=Love%20Fame%20Tragedy%20Multiply%20{Ft.%20Jack%20River}	https://play.spotify.com/search/results/artist:Love%20Fame%20Tragedy%20track:Multiply%20%7BFt.%20Jack%20River%7D	NA
requestival_28	4:53am	Kill V. Maim	Grimes	Art Angels 	https://www.youtube.com/results?search_query=Grimes%20Kill%20V.%20Maim	https://play.spotify.com/search/results/artist:Grimes%20track:Kill%20V.%20Maim	NA
requestival_28	4:56am	Damn Baby	Alpine	Yuck 	https://www.youtube.com/results?search_query=Alpine%20Damn%20Baby	https://play.spotify.com/search/results/artist:Alpine%20track:Damn%20Baby	https://www.triplejunearthed.com/node/47651
requestival_28	5:04am	Handyman	Triple One	Handyman 	https://www.youtube.com/results?search_query=Triple%20One%20Handyman	https://play.spotify.com/search/results/artist:Triple%20One%20track:Handyman	https://www.triplejunearthed.com/node/3191236
requestival_28	5:06am	Same Mistakes	LAUREL	DOGVIOLET 	https://www.youtube.com/results?search_query=LAUREL%20Same%20Mistakes	https://play.spotify.com/search/results/artist:LAUREL%20track:Same%20Mistakes	NA
requestival_28	5:13am	Freestyler	Bomfunk MC's	Freestyler 	https://www.youtube.com/results?search_query=Bomfunk%20MC%27s%20Freestyler	https://play.spotify.com/search/results/artist:Bomfunk%20MC's%20track:Freestyler	NA
requestival_28	5:19am	Dumb Ideas	Bad//Dreems	Dumb Ideas 	https://www.youtube.com/results?search_query=Bad//Dreems%20Dumb%20Ideas	https://play.spotify.com/search/results/artist:Bad//Dreems%20track:Dumb%20Ideas	https://www.triplejunearthed.com/node/155716
requestival_28	5:22am	Better	Mallrat	Better 	https://www.youtube.com/results?search_query=Mallrat%20Better	https://play.spotify.com/search/results/artist:Mallrat%20track:Better	https://www.triplejunearthed.com/node/4253956
requestival_28	5:26am	Float On	Modest Mouse	Good News for People Who Love Bad News 	https://www.youtube.com/results?search_query=Modest%20Mouse%20Float%20On	https://play.spotify.com/search/results/artist:Modest%20Mouse%20track:Float%20On	NA
requestival_28	5:30am	Misery Business	Paramore	Riot! 	https://www.youtube.com/results?search_query=Paramore%20Misery%20Business	https://play.spotify.com/search/results/artist:Paramore%20track:Misery%20Business	NA
requestival_28	5:33am	Be About You	Winston Surfshirt	Sponge Cake 	https://www.youtube.com/results?search_query=Winston%20Surfshirt%20Be%20About%20You	https://play.spotify.com/search/results/artist:Winston%20Surfshirt%20track:Be%20About%20You	https://www.triplejunearthed.com/node/220531
requestival_28	5:41am	Bad N Bouj	Hp Boyz	Bad N Bouj 	https://www.youtube.com/results?search_query=Hp%20Boyz%20Bad%20N%20Bouj	https://play.spotify.com/search/results/artist:Hp%20Boyz%20track:Bad%20N%20Bouj	NA
requestival_28	5:44am	Braindead	Dune Rats	The Kids Will Know It's Bullshit 	https://www.youtube.com/results?search_query=Dune%20Rats%20Braindead	https://play.spotify.com/search/results/artist:Dune%20Rats%20track:Braindead	https://www.triplejunearthed.com/node/135801
